lens_id,pub_key,jurisdiction,date_published,title,cpc_codes,claim_count,independent_claim_count,has_full_text,tags
"","US12239396","US","2025-03-04","Medical robotic system providing an auxiliary view including range of motion limitations for articulatable instruments extending out of a distal end of an entry guide","A61B90/361, A61B1/00149, A61B1/00183",0,0,"No",""
"","US12245822","US","2025-03-11","Surgical robot evolution and handoff","A61B34/10, A61B34/20, A61B34/30",0,0,"No",""
"","US12245826","US","2025-03-11","Robotic surgical systems with multi-modality imaging for performing surgical steps","A61B34/30, A61B5/0022, A61B5/0035",0,0,"No",""
"","US12266040","US","2025-04-01","Rendering tool information as graphic overlays on displayed images of tools","A61B34/25, A61B34/30, A61B34/37",0,0,"No",""
"","US12303125","US","2025-05-20","Methods, systems and devices for storing suture needles and using robotics for delivering selected suture needles to surgical sites","A61B17/06119, A61B17/062, A61B34/30",0,0,"No",""
"","US12357152","US","2025-07-15","Artificial intelligence-based medical 3D scanner","A61B1/000094, A61B1/00, A61B1/00193",0,0,"No",""
"","US12357400","US","2025-07-15","Synthetic representation of a surgical robot","A61B34/30, A61B34/20, A61B34/37",0,0,"No",""
"","US12440208","US","2025-10-14","Powered surgical instrument","A61B17/07207, A61B18/1445, A61B90/98",0,0,"No",""
"","US12508094","US","2025-12-30","Curved gimbal link geometry","A61B34/74, A61B34/35, A61B34/37",0,0,"No",""
"","US12582480","US","2026-03-24","Digital image analysis for robotic installation of surgical implants","A61B34/37, A61B34/30, A61B2034/2055",0,0,"No",""
"","US12605209","US","2026-04-21","Minimally invasive telesurgical systems with interactive user interfaces for 3D operative images","A61B34/10, A61B1/00193, A61B8/12",0,0,"No",""
"","US20070293734","US","2007-12-20","METHODS AND APPARATUS FOR SURGICAL PLANNING","A61B34/10, A61B34/25, A61B34/30",0,0,"Yes",""
"","US20110166706","US","2011-07-07","MEDICAL ROBOTIC SYSTEM WITH SLIDING MODE CONTROL","A61B34/70, A61B34/30, A61B34/37",0,0,"Yes",""
"","US20110201885","US","2011-08-18","ENVIRONMENT PROPERTY ESTIMATON AND GRAPHICAL DISPLAY","A61B90/37, A61B34/10, A61B34/30",0,0,"No",""
"","US20120109377","US","2012-05-03","AUTOFOCUS AND/OR AUTOSCALING IN TELESURGERY","A61B1/00188, A61B34/30, A61B34/35",0,0,"No",""
"","US20120290005","US","2012-11-15","SUTURE FASTENING DEVICE","A61B17/062, A61B17/0469, A61B17/0483",0,0,"No",""
"","US20130267969","US","2013-10-10","CONTROL INTERFACE FOR LAPAROSCOPIC SUTURING INSTRUMENT","A61B17/0469, A61B17/0491, A61B17/0625",0,0,"No",""
"","US20140253684","US","2014-09-11","VISUALIZATION OF REGISTERED SUBSURFACE ANATOMY","A61B1/000094, A61B1/3132, A61B34/30",0,0,"No",""
"","US20150289755","US","2015-10-15","MULTI-VIEW IMAGING SYSTEM FOR LAPAROSCOPIC SURGERY","A61B1/00096, A61B1/00179, A61B1/00193",0,0,"No",""
"","US20160184605","US","2016-06-30","Direct visualization Robotic Intra-Operative Radiation Therapy Device with Radiation Ablation Capsule and Shutter System","A61N5/1083, A61N5/1014, A61N5/1042",0,0,"No",""
"","US20180042680","US","2018-02-15","INTERACTIVE USER INTERFACES FOR MINIMALLY INVASIVE TELESURGICAL SYSTEMS","A61B1/0005, A61B1/000094, A61B1/0004",0,0,"No",""
"","US20180214222","US","2018-08-02","WIRELESS FORCE SENSOR ON A DISTAL PORTION OF A SURGICAL INSTRUMENT AND METHOD","A61B34/30, A61B34/35, A61B34/37",0,0,"No",""
"","US20190336226","US","2019-11-07","TRAINING SYSTEM FOR ROBOT-ASSISTED LAPAROSCOPIC SURGERY","G09B23/285, A61B34/35, A61B34/74",0,0,"No",""
"","US20200113639","US","2020-04-16","MASTER OPERATION INPUT DEVICE AND MASTER-SLAVE MANIPULATOR","A61B34/74, A61B34/37, A61B2034/741",0,0,"No",""
"","US20200405418","US","2020-12-31","SURGICAL SIMULATION SYSTEM USING FORCE SENSING AND OPTICAL TRACKING AND ROBOTIC SURGERY SYSTEM","A61B34/35, A61B18/00, A61B34/30",0,0,"No",""
"","US20210137636","US","2021-05-13","DEVICE FOR PROVIDING AN INTERFACE BETWEEN A MEDICAL INSTRUMENT AND A PART OF A HUMAN OR ANIMAL BODY AND METHODS OF USE THEREOF","A61B90/37, A61B8/4209, A61B8/4444",0,0,"No",""
"","US20210282887","US","2021-09-16","SURGICAL AUGMENTED REALITY","A61B34/37, A61B34/20, A61B90/361",0,0,"No",""
"","US20230014454","US","2023-01-19","FORMING A CUSTOM FITTED MESH BASED ON A TOPOGRAPHICAL MAP OF A PATIENT'S ABDOMINAL CAVITY","B33Y80/00, B33Y50/02, A61B34/30",0,0,"No",""
"","US20230100415","US","2023-03-30","SURGICAL SEALING SYSTEMS FOR INSTRUMENT STABILIZATION","A61B5/0075, A61B17/3423, A61B17/3462",0,0,"No",""
"","US20230181258","US","2023-06-15","ROBOTIC SURGICAL SYSTEM FOR INSERTION OF SURGICAL IMPLANTS","A61B34/10, A61B5/08, A61B5/145",0,0,"No",""
"","US20230215554","US","2023-07-06","SYSTEM FOR MAINTAINING AND CONTROLLING SURGICAL TOOLS","A61B34/30, A61B5/6846, A61B5/741",0,0,"No",""
"","US20230270562","US","2023-08-31","SYNCHRONIZED PLACEMENT OF SURGICAL IMPLANT HARDWARE","G06F30/20, A61B5/0022, A61B5/02055",0,0,"No",""
"","US20240050232","US","2024-02-15","Methods and system for cartilage restoration","A61B34/10, A61B2034/102, A61B2034/105",0,0,"No",""
"","US20240122649","US","2024-04-18","DIGITAL IMAGE ANALYSIS FOR DEVICE NAVIGATION IN TISSUE","A61B34/10, A61B5/0036, A61B5/004",0,0,"No",""
"","US20240238617","US","2024-07-18","INTRA-OPERATIVE RADIATION THERAPY CAPSULE WITH CYLINDRICAL SHELL RADIATION CONTAINMENT SHUTTER SYSTEM","A61B34/35, A61B90/361, A61B90/37",0,0,"No",""
"","US20240245458","US","2024-07-25","APPARATUS FOR ROBOTIC JOINT ARTHROSCOPIC SURGERY","A61B34/10, A61B34/25, A61B34/30",0,0,"No",""
"","US20240398479","US","2024-12-05","ROBOTIC SURGICAL SYSTEM FOR VIRTUAL REALITY BASED ROBOTIC TELESURGICAL OPERATIONS","A61B90/36, A61B34/10, A61B34/25",0,0,"No",""
"","US20250009432","US","2025-01-09","DIGITAL IMAGE ANALYSIS FOR DEVICE NAVIGATION IN TISSUE","A61B34/10, A61B34/20, A61B2034/104",0,0,"No",""
"","US20250032204","US","2025-01-30","COMPUTERIZED CONTROL AND NAVIGATION OF A ROBOTIC SURGICAL APPARATUS","A61B34/25, A61B34/10, A61B34/20",0,0,"No",""
"","US20250255678","US","2025-08-14","SYSTEM FOR TRANSCRIBING AND PERFORMING ANALYSIS ON PATIENT DATA","G06V10/70, A61B90/90, A61B90/98",0,0,"No",""
"","US7741802","US","2010-06-22","Medical robotic system with programmably controlled constraints on error dynamics","B25J9/1689, A61B34/30, A61B34/37",0,0,"No",""
"","US8398541","US","2013-03-19","Interactive user interfaces for robotic minimally invasive surgical systems","G16H20/40, A61B8/00, A61B8/12",0,0,"No",""
"","US8864752","US","2014-10-21","Control system configured to compensate for non-ideal actuator-to-joint linkage characteristics in a medical robotic system","A61B34/30, A61B34/37, A61B34/71",0,0,"No",""
"","US8920300","US","2014-12-30","Direct visualization robotic intra-operative radiation therapy device with radiation ablation capsule","A61N5/1001, A61N2005/1052, A61N2005/1055",0,0,"No",""
"","US9066737","US","2015-06-30","Method for moving an instrument arm of a laparoscopy robot into a predeterminable relative position with respect to a trocar","A61B34/30, A61B90/11, A61B2034/2055",0,0,"No",""
"","US9241767","US","2016-01-26","Method for handling an operator command exceeding a medical device state limitation in a medical robotic system","A61B34/37, A61B34/30, A61B34/35",0,0,"No",""
"","US9439556","US","2016-09-13","Intelligent autonomous camera control for robotics with medical, military, and space applications","B25J9/1682, A61B1/00149, A61B1/00188",0,0,"No",""
