lens_id,pub_key,jurisdiction,date_published,title,applicants,cpc_codes,claim_count,independent_claim_count,has_full_text
170-895-234-819-057,US-20160374768-A1,US,2016-12-29,USER INITIATED BREAK-AWAY CLUTCHING OF A SURGICAL MOUNTING PLATFORM,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,23,23,Yes
045-951-117-550-169,WO-2016201207-A1,WO,2016-12-15,MASTER-TO-SLAVE ORIENTATION MAPPING WHEN MISALIGNED,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,1,1,Yes
136-323-088-942-658,US-9516996-B2,US,2016-12-13,Medical robotic system providing computer generated auxiliary views of a camera instrument for controlling the position and orienting of its tip,INTUITIVE SURGICAL OPERATIONS,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,7,7,Yes
008-944-579-882-697,CN-106137397-A,CN,2016-11-23,"A bending sleeve, a robot manipulator, and a surgical instrument having a passive flexible shaft",INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B1/313 | A61B17/29 | A61B17/3423,0,0,No
123-864-924-340-805,EP-3087901-A1,EP,2016-11-02,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,9,9,Yes
036-051-839-555-519,US-9452020-B2,US,2016-09-27,User initiated break-away clutching of a surgical mounting platform,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,25,25,Yes
170-422-667-051-717,JP-2016105938-A,JP,2016-06-16,CURVED CANNULA SURGICAL SYSTEM,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B1/313 | A61B17/29 | A61B17/3423,0,0,No
119-423-177-390-21X,US-20160157950-A1,US,2016-06-09,CURVED CANNULA SURGICAL SYSTEM CONTROL,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,18,18,Yes
060-152-406-546-249,US-9283050-B2,US,2016-03-15,Curved cannula surgical system control,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,18,18,Yes
133-404-601-478-071,US-9254178-B2,US,2016-02-09,Curved cannula surgical system,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B17/3423 | A61B17/3431 | A61B17/3439,17,17,Yes
011-118-655-063-540,US-20150313452-A1,US,2015-11-05,ARTICULATE AND SWAPPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,18,18,Yes
180-746-662-479-97X,US-20150257840-A1,US,2015-09-17,Positions for Multiple Surgical Mounting Platform Rotation Clutch Buttons,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B34/30 | A61B34/35 | A61B2090/035 | A61B2090/508,15,15,Yes
174-545-349-786-406,JP-2015142739-A,JP,2015-08-06,CURVED CANNULAS AND ROBOTIC MANIPULATORS,INTUITIVE SURGICAL OPERATIONS,A61B17/3498 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/0218,0,0,No
175-755-950-126-443,CN-104799890-A,CN,2015-07-29,Curved cannula and robotic manipulator,INTUITIVE SURGICAL OPERATIONS,A61B17/3498 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/0218,0,0,No
084-366-798-120-064,CN-104717936-A,CN,2015-06-17,User initiated break-away clutching of a surgical mounting platform,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,0,0,No
160-555-811-435-608,CN-104546082-A,CN,2015-04-29,"Curved cannula, robotic manipulator and surgical port",INTUITIVE SURGICAL OPERATIONS,A61B17/00234 | A61B17/3421 | A61B2017/0034 | A61B2017/3445 | A61B1/00149,0,0,No
076-675-563-903-08X,JP-2015077466-A,JP,2015-04-23,CURVED CANNULA SURGICAL SYSTEM,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B1/313 | A61B17/29 | A61B17/3423,0,0,No
030-593-403-095-089,US-9005112-B2,US,2015-04-14,Articulate and swapable endoscope for a surgical robot,HASSER CHRISTOPHER J; SWARUP NITISH; COOPER THOMAS G; ANDERSON S CHRISTOPHER; INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,17,17,Yes
070-412-771-405-55X,US-20150065793-A1,US,2015-03-05,MEDICAL ROBOTIC SYSTEM PROVIDING COMPUTER GENERATED AUXILIARY VIEWS OF A CAMERA INSTRUMENT FOR CONTROLLING THE POSITION AND ORIENTING OF ITS TIP,INTUITIVE SURGICAL OPERATIONS,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,6,6,Yes
166-676-478-905-635,US-20150045814-A1,US,2015-02-12,CURVED CANNULA SURGICAL SYSTEM CONTROL,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,18,18,Yes
079-969-406-091-156,US-8888789-B2,US,2014-11-18,Curved cannula surgical system control,PRISCO GIUSEPPE MARIA; AU SAMUEL; INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,31,31,Yes
014-554-272-036-553,US-8864652-B2,US,2014-10-21,Medical robotic system providing computer generated auxiliary views of a camera instrument for controlling the positioning and orienting of its tip,DIOLAITI NICOLA; LARKIN DAVID Q; GOMEZ DANIEL; MUSTAFA TABISH; MOHR PAUL W; LILAGAN PAUL; INTUITIVE SURGICAL OPERATIONS,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,16,16,Yes
019-113-976-169-280,EP-2735278-A3,EP,2014-08-27,Articulate and swapable endoscope for a surgical robot,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
060-060-483-580-012,EP-2735278-A2,EP,2014-05-28,Articulate and swapable endoscope for a surgical robot,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,17,17,Yes
053-493-718-703-276,WO-2014028702-A1,WO,2014-02-20,USER INITIATED BREAK-AWAY CLUTCHING OF A SURGICAL MOUNTING PLATFORM,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,1,1,Yes
079-064-616-794-240,US-20140052154-A1,US,2014-02-20,USER INITIATED BREAK-AWAY CLUTCHING OF A SURGICAL MOUNTING PLATFORM,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,22,22,Yes
077-127-864-557-570,US-20140018823-A1,US,2014-01-16,CURVED CANNULA INSTRUMENT,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B17/3423 | A61B17/3431 | A61B17/3439,37,37,Yes
031-114-988-309-016,US-8623028-B2,US,2014-01-07,Surgical port feature,ROGERS THEODORE W; GERBI CRAIG R; STEGER JOHN RYAN; SWINEHART CHARLES E; INTUITIVE SURGICAL OPERATIONS,A61B17/00234 | A61B17/3421 | A61B2017/0034 | A61B2017/3445 | A61B1/00149,41,41,Yes
014-439-051-029-145,US-20140005687-A1,US,2014-01-02,CURVED CANNULA SURGICAL SYSTEM,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B17/3423 | A61B17/3431 | A61B17/3439,21,21,Yes
089-801-729-104-541,US-8551115-B2,US,2013-10-08,Curved cannula instrument,STEGER JOHN RYAN; GERBI CRAIG R; PRISCO GIUSEPPE MARIA; ROGERS THEODORE W; INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,20,20,Yes
030-856-639-309-639,US-8545515-B2,US,2013-10-01,Curved cannula surgical system,PRISCO GIUSEPPE MARIA; GERBI CRAIG R; ROGERS THEODORE W; STEGER JOHN RYAN; INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,26,26,Yes
061-778-459-012-321,US-8465476-B2,US,2013-06-18,Cannula mounting fixture,ROGERS THEODORE W; STEGER JOHN RYAN; SWINEHART CHARLES E; INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,21,21,Yes
031-138-018-810-56X,US-20120190920-A1,US,2012-07-26,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,HASSER CHRISTOPHER J; SWARUP NITISH; COOPER THOMAS G; ANDERSON S CHRISTOPHER; INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
018-681-895-941-557,CN-102612347-A,CN,2012-07-25,Surgical port feature,INTUITIVE SURGICAL OPERATIONS,A61B17/00234 | A61B17/3421 | A61B2017/0034 | A61B2017/3445 | A61B1/00149,0,0,No
143-610-215-745-012,CN-102596064-A,CN,2012-07-18,Curved cannula and robotic manipulator,INTUITIVE SURGICAL OPERATIONS,A61B17/3498 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/0218,0,0,No
061-508-336-884-39X,CN-102596063-A,CN,2012-07-18,Curved cannula surgical system,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B1/313 | A61B17/29 | A61B17/3423,0,0,No
188-058-987-815-064,CN-102596062-A,CN,2012-07-18,Curved cannula instrument,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B1/313 | A61B17/29 | A61B17/3423,0,0,No
023-040-088-695-821,CN-102510740-A,CN,2012-06-20,Curved cannula and robotic manipulator,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B17/3423 | A61B17/3431 | A61B17/3439,0,0,No
059-503-003-730-97X,WO-2011060054-A3,WO,2011-09-01,"CURVED CANNULA, ROBOTIC MANIPULATOR AND SURGICAL PORT",INTUITIVE SURGICAL OPERATIONS,A61B17/00234 | A61B17/3421 | A61B2017/0034 | A61B2017/3445 | A61B1/00149,0,0,No
112-960-323-268-749,CN-102170835-A,CN,2011-08-31,Medical robotic system providing computer generated auxiliary views of a camera instrument for controlling the positioning and orienting of its tip,INTUITIVE SURGICAL INC,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,0,0,No
154-292-409-500-37X,WO-2011060046-A3,WO,2011-07-21,"CURVED CANNULA, ROBOTIC MANIPULATOR AND SURGICAL INSTRUMENT HAVING A PASSIVELY FLEXIBLE SHAFT",INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,0,0,No
124-996-519-557-171,WO-2011060031-A1,WO,2011-05-19,CURVED CANNULA SURGICAL SYSTEM,INTUITIVE SURGICAL OPERATIONS,A61B1/313 | A61B1/00149 | A61B1/00193 | A61B17/3421 | A61B17/3423,1,1,Yes
095-559-232-925-728,WO-2011060046-A2,WO,2011-05-19,CURVED CANNULA INSTRUMENT,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,1,1,Yes
137-546-840-586-669,WO-2011060054-A2,WO,2011-05-19,SURGICAL PORT FEATURE,INTUITIVE SURGICAL OPERATIONS,A61B17/00234 | A61B17/3421 | A61B2017/0034 | A61B2017/3445 | A61B1/00149,1,1,Yes
061-174-235-156-089,WO-2011060042-A1,WO,2011-05-19,CURVED CANNULA AND ROBOTIC MANIPULATOR,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,1,1,Yes
024-769-882-096-298,CN-102028545-A,CN,2011-04-27,Articulate and swapable endoscope for a surgical robot,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
142-103-313-146-432,WO-2011037718-A1,WO,2011-03-31,CURVED CANNULA AND ROBOTIC MANIPULATOR,INTUITIVE SURGICAL OPERATIONS,A61B17/3421 | A61B1/00149 | A61B17/3423 | A61B17/3431 | A61B17/3439,1,1,Yes
131-068-366-528-303,US-20110071542-A1,US,2011-03-24,CURVED CANNULA SURGICAL SYSTEM,INTUITIVE SURGICAL INC,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,21,21,Yes
027-024-754-908-418,US-20110071541-A1,US,2011-03-24,CURVED CANNULA,INTUITIVE SURGICAL INC,A61B17/3421 | A61B1/00149 | A61B17/3423 | A61B17/3431 | A61B17/3439,8,8,Yes
145-451-610-263-272,US-20110071347-A1,US,2011-03-24,CANNULA MOUNTING FIXTURE,INTUITIVE SURGICAL INC,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,20,20,Yes
066-258-767-755-840,US-20110071543-A1,US,2011-03-24,CURVED CANNULA SURGICAL SYSTEM CONTROL,INTUITIVE SURGICAL INC,A61B34/37 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,18,18,Yes
143-463-290-244-19X,US-20110071473-A1,US,2011-03-24,SURGICAL PORT FEATURE,INTUITIVE SURGICAL INC,A61B17/00234 | A61B17/3421 | A61B2017/0034 | A61B2017/3445 | A61B1/00149,30,30,Yes
181-289-180-203-909,US-20110071544-A1,US,2011-03-24,CURVED CANNULA INSTRUMENT,INTUITIVE SURGICAL INC,A61B34/30 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,23,23,Yes
107-971-325-833-257,CN-101978928-A,CN,2011-02-23,Articulate and swapable endoscope for a surgical robot,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
155-028-784-341-650,WO-2010039394-A1,WO,2010-04-08,MEDICAL ROBOTIC SYSTEM PROVIDING COMPUTER GENERATED AUXILIARY VIEWS OF A CAMERA INSTRUMENT FOR CONTROLLING THE POSITIONING AND ORIENTING OF ITS TIP,INTUITIVE SURGICAL INC,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,1,1,Yes
108-296-758-306-073,US-20090326556-A1,US,2009-12-31,MEDICAL ROBOTIC SYSTEM PROVIDING COMPUTER GENERATED AUXILIARY VIEWS OF A CAMERA INSTRUMENT FOR CONTROLLING THE POSITIONING AND ORIENTING OF ITS TIP,INTUITIVE SURGICAL INC,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,28,28,Yes
154-136-076-949-501,CN-101340853-A,CN,2009-01-07,Articulate and swapable endoscope for a surgical robot,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
032-335-101-075-374,KR-20080089579-A,KR,2008-10-07,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
023-342-023-660-162,WO-2007120353-A3,WO,2008-05-22,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
068-785-420-577-835,WO-2007120353-A2,WO,2007-10-25,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,1,1,Yes
047-828-965-916-935,US-20060178556-A1,US,2006-08-10,Articulate and swapable endoscope for a surgical robot,INTUITIVE SURGICAL INC,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,28,28,Yes
